"flagObservationStatus","flagMethod","Valid","Protected"
"E","-",TRUE,FALSE
"E","b",FALSE,FALSE
"E","c",TRUE,TRUE
"E","e",FALSE,FALSE
"E","f",TRUE,FALSE
"E","h",TRUE,TRUE
"E","i",TRUE,FALSE
"E","n",FALSE,FALSE
"E","p",FALSE,FALSE
"E","q",FALSE,FALSE
"E","s",TRUE,FALSE
"E","t",FALSE,FALSE
"E","u",FALSE,FALSE
"I","-",TRUE,FALSE
"I","b",TRUE,FALSE
"I","c",TRUE,TRUE
"I","e",TRUE,FALSE
"I","f",FALSE,FALSE
"I","h",FALSE,FALSE
"I","i",TRUE,FALSE
"I","n",FALSE,FALSE
"I","p",FALSE,FALSE
"I","q",FALSE,FALSE
"I","s",TRUE,FALSE
"I","t",FALSE,FALSE
"I","u",FALSE,FALSE
"M","-",TRUE,FALSE
"M","b",FALSE,FALSE
"M","c",TRUE,FALSE
"M","e",FALSE,FALSE
"M","f",FALSE,FALSE
"M","h",FALSE,FALSE
"M","i",TRUE,FALSE
"M","n",FALSE,FALSE
"M","p",FALSE,FALSE
"M","q",TRUE,FALSE
"M","s",TRUE,FALSE
"M","t",FALSE,FALSE
"M","u",TRUE,FALSE
"T","-",TRUE,FALSE
"T","b",FALSE,FALSE
"T","c",TRUE,TRUE
"T","e",FALSE,FALSE
"T","f",FALSE,FALSE
"T","h",TRUE,TRUE
"T","i",TRUE,FALSE
"T","n",FALSE,FALSE
"T","p",TRUE,TRUE
"T","q",FALSE,FALSE
"T","s",TRUE,FALSE
"T","t",FALSE,FALSE
"T","u",FALSE,FALSE
"","-",TRUE,TRUE
"","b",FALSE,FALSE
"","c",TRUE,TRUE
"","e",FALSE,FALSE
"","f",FALSE,FALSE
"","h",TRUE,TRUE
"","i",TRUE,FALSE
"","n",FALSE,FALSE
"","p",TRUE,TRUE
"","q",TRUE,TRUE
"","s",TRUE,FALSE
"","t",FALSE,FALSE
"","u",FALSE,FALSE
