Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1961,2288,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1962,3116,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1963,4753,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1964,4984,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1965,3052,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1966,7494,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1967,-5375,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1968,-4525,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1969,-4813,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1970,3194,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1971,-3635,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1972,1933,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1973,12223,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1974,-4495,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1975,-7052,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1976,-10386,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1977,-7344,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1978,9722,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1979,-1885,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1980,-6944,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1981,-7543,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1982,-8483,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2511,Wheat and products,1983,4948,S,Standardized data
