"geographicAreaM49","measuredElement","measuredItemCPC","timePointYears"
"104","5071","0113","1990"
"104","5071","0113","1991"
"104","5071","0113","1992"
"104","5071","0113","1993"
"104","5071","0113","1994"
"104","5071","0113","1995"
"104","5071","0113","1996"
"104","5071","0113","1997"
"104","5071","0113","1998"
"104","5071","0113","1999"
"104","5071","0113","2000"
"104","5071","0113","2001"
"104","5071","0113","2002"
"104","5071","0113","2003"
"104","5071","0113","2004"
"104","5071","0113","2005"
"104","5071","23520","2010"
"1248","5071","0111","1990"
"1248","5071","0111","1991"
"1248","5071","0111","1992"
"1248","5071","0111","1993"
"1248","5071","0111","1994"
"1248","5071","0111","1995"
"1248","5071","0111","1996"
"1248","5071","0111","1997"
"1248","5071","0111","1998"
"1248","5071","0111","1999"
"1248","5071","0111","2000"
"1248","5071","0111","2001"
"1248","5071","0111","2002"
"1248","5071","0111","2003"
"1248","5071","0111","2004"
"1248","5071","0111","2005"
"144","5071","0113","1990"
"144","5071","0113","1991"
"144","5071","0113","1993"
"191","5071","0118","1991"
"191","5071","0118","1992"
"192","5071","01705","1999"
"192","5071","01705","2000"
"192","5071","01705","2001"
"192","5071","01705","2002"
"192","5071","01705","2003"
"192","5071","01705","2004"
"196","5071","01709.90","2001"
"196","5071","23520","1990"
"196","5071","23520","1992"
"196","5071","23520","1993"
"196","5071","23520","1994"
"196","5071","23520","1995"
"196","5071","23520","1996"
"196","5071","23520","1997"
"196","5071","23520","1998"
"196","5071","23520","1999"
"196","5071","23520","2000"
"196","5071","23520","2001"
"196","5071","23520","2002"
"233","5071","0115","1992"
"233","5071","0115","1993"
"233","5071","0115","1994"
"233","5071","0115","1995"
"233","5071","0115","1996"
"233","5071","0115","1997"
"233","5071","0115","1998"
"233","5071","0115","1999"
"233","5071","0115","2000"
"233","5071","0115","2001"
"233","5071","0115","2002"
"233","5071","0115","2003"
"233","5071","0115","2004"
"233","5071","01192","1991"
"233","5071","01199.02","1991"
"233","5071","01199.02","1992"
"250","5071","0111","1990"
"250","5071","0111","1991"
"250","5071","0111","1992"
"250","5071","0111","1993"
"250","5071","0111","1994"
"250","5071","0111","1995"
"250","5071","0111","1996"
"250","5071","0111","1997"
"250","5071","0111","1998"
"250","5071","0111","1999"
"250","5071","0111","2000"
"250","5071","0111","2002"
"250","5071","0111","2003"
"250","5071","0111","2004"
"250","5071","0111","2005"
"250","5071","0111","2006"
"250","5071","0111","2007"
"250","5071","0111","2008"
