"geographicAreaM49_description","measuredItemCPC_description","N"
"Austria","Oats",39
"Austria","Rye",39
"Austria","Wheat",42
"Bel-Lux(-1999)","Barley",39
"Bel-Lux(-1999)","Refined sugar",40
"Bel-Lux(-1999)","Wheat",38
"Bulgaria","Barley",8
"Bulgaria","Maize (corn)",5
"Bulgaria","Refined sugar",4
"Bulgaria","Wheat",7
"Czech Republic","Barley",34
"Czech Republic","Maize (corn)",1
"Czech Republic","Oats",34
"Czech Republic","Rye",34
"Czech Republic","Wheat",34
"Egypt","Wheat",30
"Hungary","Barley",35
"Hungary","Maize (corn)",12
"Hungary","Millet",21
"Hungary","Oats",35
"Hungary","Other cereals n.e.",33
"Hungary","Refined sugar",37
"Hungary","Rye",35
"Hungary","Sorghum",14
"Hungary","Triticale",41
"Hungary","Wheat",35
"Philippines","Wheat",32
"Poland","Barley",41
"Poland","Maize (corn)",5
"Poland","Rye",33
"Poland","Wheat",40
"Romania","Barley",27
"Romania","Refined sugar",27
"Romania","Wheat",32
"Slovakia","Refined sugar",5
"Sweden","Wheat",36
"Switzerland","Barley",43
"Switzerland","Maize (corn)",10
"Switzerland","Oats",43
"Switzerland","Rye",43
"Switzerland","Wheat",43
"United States of America","Barley",54
"United States of America","Maize (corn)",22
"United States of America","Oats",54
"United States of America","Rice",54
"United States of America","Rye",54
"United States of America","Sorghum",54
"United States of America","Wheat",54
