"GroupName","group","timePointYears","production","imports","exports","deltaStocks","trade"
"Upper middle income","cereals","2005",740354761.1,69787236,19901588,4111709.05,49885648
"Upper middle income","cereals","2006",772743444.1,72648853,23292095,-8826217.84,49356758
"Upper middle income","cereals","2007",781641185.88,75532734,32635808,-1194396.33,42896926
"Upper middle income","cereals","2008",823159003.72,81410552,25158225,-19205871.08,56252327
"Upper middle income","cereals","2009",832326214.9,81421063,29542831,-22158268.55,51878232
"Upper middle income","cereals","2010",852030425.16,84859027.8,35678745,-7020438.33,49180282.8
"Upper middle income","cereals","2011",894638082.22,87569578.8,32187848,-12758498.06,55381730.8
"Upper middle income","cereals","2012",911964917.75294,95811250.8,42808153,-7583342.3,53003097.8
"Upper middle income","pulses","2005",13450714,1896789,1421258,181418,475531
"Upper middle income","pulses","2006",13870573.7,2027926,1557157,-448974,470769
"Upper middle income","pulses","2007",12879464,2118689,1460508,438055,658181
"Upper middle income","pulses","2008",13140862.7558,2453103,1550979,-300756,902124
"Upper middle income","pulses","2009",13186201.360791,2268793,1708855,18320,559938
"Upper middle income","pulses","2010",12703896.01151,2778427.84,1545770,55485,1232657.84
"Upper middle income","pulses","2011",13139379.827549,3164047,1529152,9998,1634895
"Upper middle income","pulses","2012",13051138.096136,3485442,1691480,299998,1793962
"Upper middle income","refined_sugar","2005",48921710.622,3263818,10619010,249900.5556,-7355192
"Upper middle income","refined_sugar","2006",53470539.767,4605494,9965248,-2325278.73,-5359754
"Upper middle income","refined_sugar","2007",56562477.7149,4285910,11639054,-3501460.2324,-7353144
"Upper middle income","refined_sugar","2008",53653027.617,3996539,10109075,-782379.8786,-6112536
"Upper middle income","refined_sugar","2009",50452580.6179,3411885,11907504,3965840.0692,-8495619
"Upper middle income","refined_sugar","2010",54669115.596,3770350,12866927,1442372.886,-9096577
"Upper middle income","refined_sugar","2011",56312190.157,3981999.35,11927205,-1252268.3944,-7945205.65
"Upper middle income","refined_sugar","2012",62361118.818,4157751.35,10842691,-3393050.041,-6684939.65
"Lower middle income","cereals","2005",645063260,48488547,15359231,-1926149.42,33129316
"Lower middle income","cereals","2006",658298937,55717061,14133097,-3414605.705,41583964
"Lower middle income","cereals","2007",674991747,53456229,10040572,-1247117.3,43415657
"Lower middle income","cereals","2008",729836924,49263274,21540608,-3048559.68,27722666
"Lower middle income","cereals","2009",713937042.6,62835062,30087181,-4124663.66,32747881
"Lower middle income","cereals","2010",726161311.6981,62669224,16016614,-3588117.01,46652610
"Lower middle income","cereals","2011",770534120.6175,66024605,22753557,-11215813.14,43271048
"Lower middle income","cereals","2012",771523249.7551,64238413,25947671,-10128594.83,38290742
"Lower middle income","pulses","2005",24816903,3761361,1670738,-134003,2090623
"Lower middle income","pulses","2006",26627039,4514595,2200888,-298825,2313707
"Lower middle income","pulses","2007",27789194,5239905,2104685,42776,3135220
"Lower middle income","pulses","2008",26817281.6,4361798,2402267,-141995,1959531
"Lower middle income","pulses","2009",27359664.76851,6140506,2376504,369034,3764002
"Lower middle income","pulses","2010",31456020.220395,5014497,1735610,-280470,3278887
"Lower middle income","pulses","2011",30977452.208762,5601329.4,2358588,483250,3242741.4
"Lower middle income","pulses","2012",30698174.269376,6115980.4,2349426,1000,3766554.4
"Lower middle income","refined_sugar","2005",32532444.46,6416901,1253386,3903400.6196,5163515
"Lower middle income","refined_sugar","2006",38561712.751001,6890462,1752668,-1035681.614,5137794
"Lower middle income","refined_sugar","2007",46648401.848,7257542,3027127,-6486446.1564,4230415
"Lower middle income","refined_sugar","2008",47633654.6462,4887100,2983413,-2242253.1,1903687
"Lower middle income","refined_sugar","2009",35852442.8873,5850900.6,925452,4522276.788,4925448.6
"Lower middle income","refined_sugar","2010",39833462.378,6168988,1664276,2663651.4329,4504712
"Lower middle income","refined_sugar","2011",48042896.395,5372043,2763355,-1388242.326,2608688
"Lower middle income","refined_sugar","2012",50941556.293,4947553,2917249,-2454342.5252,2030304
"Low income","cereals","2005",87095263,5253894,271411,-453423.09,4982483
"Low income","cereals","2006",90862418,6077108,341212,-1990093.56,5735896
"Low income","cereals","2007",91423169.21,5044711,787775,1206121.14,4256936
"Low income","cereals","2008",97570362.6,6142059,500982,-582572.75,5641077
"Low income","cereals","2009",103303392.2,8105209,389685,-3070483.22,7715524
"Low income","cereals","2010",112703242.72,6943243,721229,-5421118.11,6222014
"Low income","cereals","2011",110509374,7166126.592,714247,-2970730.24,6451879.592
"Low income","cereals","2012",125414090.05,8776958.592,997200,-2026874.97,7779758.592
"Low income","pulses","2005",6814703,367342,254371,157600,112971
"Low income","pulses","2006",7329181,302496,254768,-83970,47728
"Low income","pulses","2007",8087155,260673,317498,-213350,-56825
"Low income","pulses","2008",8816442,338281,447237,-261480,-108956
"Low income","pulses","2009",8588253,436622,473334,-55650,-36712
"Low income","pulses","2010",10032078,289532,577824,-586400,-288292
"Low income","pulses","2011",10139933.109,241806,607469,-381750,-365663
"Low income","pulses","2012",11625280.06,303904,691273,-519000,-387369
"Low income","refined_sugar","2005",2037203.281,1818633,144131,-347729,1674502
"Low income","refined_sugar","2006",2085115.5601,1688594,217650,16562,1470944
"Low income","refined_sugar","2007",1968971.5209,1905263,147303,21568,1757960
"Low income","refined_sugar","2008",1998130.84,1882526,125989,65713,1756537
"Low income","refined_sugar","2009",2011892.035,2095186,172704,-49089,1922482
"Low income","refined_sugar","2010",2247466.52,2087953,169767,-109960,1918186
"Low income","refined_sugar","2011",2162608.427,1762483.884,214012,440558,1548471.884
"Low income","refined_sugar","2012",2093564.939,2343387.884,197386,-110757,2146001.884
"High income","cereals","2005",877233472,121858686,213515044,-7111863.23,-91656358
"High income","cereals","2006",807204570,125791129,221074009,58289749.196,-95282880
"High income","cereals","2007",903541861,134949017,229124375,-944443.59,-94175358
"High income","cereals","2008",974682874,136776790,228262120,-41795506.065,-91485330
"High income","cereals","2009",944325465.3,133053666,226135325,-13273183.457,-93081659
"High income","cereals","2010",883950738.82,137552086,242081092,36682800.975,-104529006
"High income","cereals","2011",918789194.3,134631595.5,240752479,15763048.433,-106120883.5
"High income","cereals","2012",865317257.1,135016417.5,242413159,15447158.301,-107396741.5
"High income","pulses","2005",15973280.5,4120683.524,6483345,-1423532.05,-2362661.476
"High income","pulses","2006",13041109,3855389,7108681,822883,-3253292
"High income","pulses","2007",12933196,3008970,6593744,516562,-3584774
"High income","pulses","2008",13814602.1,2957882,6426914,-124653,-3469032
"High income","pulses","2009",14871613.8,2965739,8086178,260629,-5120439
"High income","pulses","2010",16230346.0996,3117223,8588896,-487919,-5471673
"High income","pulses","2011",14643388.9,3115994,8942927,1409767,-5826933
"High income","pulses","2012",17788591.0514,3110783,8942536,-254842,-5831753
"High income","refined_sugar","2005",46392078.8234,8361107.667,11820911,3178371.447,-3459803.333
